id,input,output
139.0,"Imbalanced activities of fusion and opposite fission lead to mitochondrial dysfunction. These further results in; mitochondrial fragmentation, loss of oxidative phosphorylation (OXPHOS), mtDNA depletion and ROS production.","[{'entity1': 'Imbalanced activities', 'relationship': 'lead to', 'entity2': 'mitochondrial dysfunction'}, {'entity1': 'mitochondrial dysfunction', 'relationship': 'results in', 'entity2': 'mitochondrial fragmentation'}, {'entity1': 'mitochondrial dysfunction', 'relationship': 'results in', 'entity2': 'loss of oxidative phosphorylation'}, {'entity1': 'mitochondrial dysfunction', 'relationship': 'results in', 'entity2': 'mtDNA depletion'}, {'entity1': 'mitochondrial dysfunction', 'relationship': 'results in', 'entity2': 'ROS production'}]"
140.0,"Mitochondrial respiratory chain, NADPH oxidases, and 5-lipoxygenase are the major cellular sources of ROS production.","[{'entity1': 'Mitochondrial respiratory chain', 'relationship': 'source of', 'entity2': 'ROS production'}, {'entity1': 'NADPH oxidases', 'relationship': 'source of', 'entity2': 'ROS production'}, {'entity1': '5-lipoxygenase', 'relationship': 'source of', 'entity2': 'ROS production'}]"
141.0,"Surprisingly, oxidative stress activates several transcription factors (NF-kB and activated protein 1) leading to the production and activation of pro-inflammatory cytokines, chemokines, and lymphocytes which in turn leads to the production of more ROS and RNS, principally in the form of superoxide, nitric oxide (NO), and peroxynitrite.","[{'entity1': 'oxidative stress', 'relationship': 'activates', 'entity2': 'transcription factors'}, {'entity1': 'transcription factors', 'relationship': 'leading to', 'entity2': 'production of pro-inflammatory cytokines'}, {'entity1': 'transcription factors', 'relationship': 'leading to', 'entity2': 'activation of pro-inflammatory cytokines'}, {'entity1': 'transcription factors', 'relationship': 'leading to', 'entity2': 'production of chemokines'}, {'entity1': 'transcription factors', 'relationship': 'leading to', 'entity2': 'production of lymphocytes'}, {'entity1': 'lymphocytes', 'relationship': 'leads to', 'entity2': 'production of ROS'}, {'entity1': 'lymphocytes', 'relationship': 'leads to', 'entity2': 'production of RNS'}]"
142.0,Mitochondrial Dysfunctions induce caspase-1 activation and the release of pro-inflammatory cytokines like IL1B and IL18 which finally leads to sterile inflammation.,"[{'entity1': 'Mitochondrial Dysfunctions', 'relationship': 'induce', 'entity2': 'caspase-1 activation'}, {'entity1': 'Mitochondrial Dysfunctions', 'relationship': 'induce', 'entity2': 'release of pro-inflammatory cytokines'}, {'entity1': 'release of pro-inflammatory cytokines', 'relationship': 'leads to', 'entity2': 'sterile inflammation'}]"
143.0,Uncontrolled and excessive release of mitochondrial DAMPs associated with severity and contributes to the dysregulated process observed in numerous inflammatory and autoimmune conditions.,"[{'entity1': 'release of mitochondrial DAMPs', 'relationship': 'associated with', 'entity2': 'severity'}, {'entity1': 'release of mitochondrial DAMPs', 'relationship': 'contributes to', 'entity2': 'dysregulated process in inflammatory and autoimmune conditions'}]"
144.0,Non-communicable diseases (NCDs) are increasingly becoming the leading public causes of morbidity and mortality globally.,"[{'entity1': 'Non-communicable diseases', 'relationship': 'becoming', 'entity2': 'leading public causes of morbidity and mortality'}]"
145.0,"Cardiovascular diseases accounted for most NCD deaths (17.5 million NCD deaths), followed by cancers (8.2million NCD deaths), respiratory diseases (4.0 million NCD deaths) and diabetes mellitus (1.5million NCD deaths).","[{'entity1': 'Cardiovascular diseases', 'relationship': 'accounted for', 'entity2': 'most NCD deaths'}, {'entity1': 'cancers', 'relationship': 'accounted for', 'entity2': 'NCD deaths'}, {'entity1': 'respiratory diseases', 'relationship': 'accounted for', 'entity2': 'NCD deaths'}, {'entity1': 'diabetes mellitus', 'relationship': 'accounted for', 'entity2': 'NCD deaths'}]"
146.0,A common feature of all NCDs is excessive fatigue which results from mitochondrial function impairment; the crucial organelle responsible for cellular energy production.,"[{'entity1': 'mitochondrial function impairment', 'relationship': 'results in', 'entity2': 'excessive fatigue in NCDs'}, {'entity1': 'mitochondria', 'relationship': 'responsible for', 'entity2': 'cellular energy production'}]"
147.0,"Thus, lack of repair mechanism of damaged mtDNA means cells cannot copy mtDNA accurately resulting in errors of transcription, deletions and mutations and also oxidation from ROS results in a series of cellular abuse.","[{'entity1': 'lack of repair mechanism of damaged mtDNA', 'relationship': 'results in', 'entity2': 'errors of transcription, deletions and mutations'}, {'entity1': 'oxidation from ROS', 'relationship': 'results in', 'entity2': 'cellular abuse'}]"
148.0,"Cardiovascular disease/atherosclerosis, obesity and type 2 diabetes are closely associated with chronic inflammation characterized by abnormal cytokine production, increased levels of acute-phase reactants and activation of a network of inflammatory signaling pathways.","[{'entity1': 'Cardiovascular disease/atherosclerosis, obesity and type 2 diabetes', 'relationship': 'associated with', 'entity2': 'chronic inflammation'}, {'entity1': 'chronic inflammation', 'relationship': 'characterized by', 'entity2': 'abnormal cytokine production'}, {'entity1': 'chronic inflammation', 'relationship': 'characterized by', 'entity2': 'increased levels of acute-phase reactants'}, {'entity1': 'chronic inflammation', 'relationship': 'characterized by', 'entity2': 'activation of inflammatory signaling pathways'}]"
149.0,"Mitochondrial dysfunction because of unbalanced fusion and fission, genetic defects of mtDNA or oxidative damage with ROS and RNS can impair energy metabolism, the central alteration in obesity.","[{'entity1': 'Mitochondrial dysfunction', 'relationship': 'impair', 'entity2': 'energy metabolism'}, {'entity1': 'energy metabolism', 'relationship': 'alteration in', 'entity2': 'obesity'}]"
150.0,"Therefore, preventing chronic sterile inflammation derived with mitochondrial dysfunction resulting in oxidative stress and DAMPs activated inflammasome can significantly diminish non-communicable diseases.","[{'entity1': 'preventing chronic sterile inflammation', 'relationship': 'diminish', 'entity2': 'non-communicable diseases'}, {'entity1': 'mitochondrial dysfunction', 'relationship': 'result in', 'entity2': 'oxidative stress'}, {'entity1': 'mitochondrial dysfunction', 'relationship': 'result in', 'entity2': 'DAMPs activated inflammasome'}]"
151.0,"Insulin resistance (IR) is known to be characteristic of type 2 diabetes mellitus,             and is regarded as an important mechanism in disease pathogenesis.","[{'entity1': 'Insulin resistance', 'relationship': 'characteristic', 'entity2': 'Type 2 diabetes mellitus'}, {'entity1': 'Insulin resistance', 'relationship': 'mechanism', 'entity2': 'disease pathogenesis'}]"
152.0,"Among  proinflammatory  cytokines  contributing  to         IR  development,  the  role  of  interleukin  (IL)-6,  which  has         autocrine and paracrine properties and is involved in insulin         reception and free fatty acid (FFA) metabolism regulation,         has been extensively studied.","[{'entity1': 'Interleukin 6', 'relationship': 'contributing', 'entity2': 'Insulin resistance development'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'insulin reception'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'free fatty acid metabolism regulation'}]"
153.0,One of the key pathogenetic             mechanisms  of  IR  progression  is  impaired  free  fatty  acid  (FFA)  metabolism.,"[{'entity1': 'pathogenesis', 'relationship': 'progression', 'entity2': 'impaired free fatty acid metabolism'}]"
154.0,"Plasminogen-            activator inhibitor 1 (PAI-1) and key inflammation markers, ie, interleukin 6 (IL-6) and C-reactive             protein (CRP), also play a role.","[{'entity1': 'Plasminogen-activator inhibitor 1', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'Interleukin 6', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'C-reactive protein', 'relationship': 'role', 'entity2': 'Insulin resistance'}]"
155.0,The mitochondrial proteome and human disease.,"[{'entity1': 'mitochondrial proteome', 'relationship': 'human disease'}]"
156.0,"Mitochondrial dynamics and inheritance during cell division, development and disease.","[{'entity1': 'Mitochondrial dynamics', 'relationship': 'inheritance', 'entity2': 'cell division, development and disease'}]"
157.0,Putting an equal sign between mitochondria and bacteria.,"[{'entity1': 'mitochondria', 'relationship': 'equal', 'entity2': 'bacteria'}]"
158.0,"Insulin resistance (IR) is known to be characteristic of type 2 diabetes mellitus,             and is regarded as an important mechanism in disease pathogenesis.","[{'entity1': 'Insulin resistance', 'relationship': 'characteristic', 'entity2': 'Type 2 diabetes mellitus'}, {'entity1': 'Insulin resistance', 'relationship': 'mechanism', 'entity2': 'disease pathogenesis'}]"
159.0,One of the key pathogenetic             mechanisms  of  IR  progression  is  impaired  free  fatty  acid  (FFA)  metabolism.,"[{'entity1': 'pathogenesis', 'relationship': 'progression', 'entity2': 'impaired free fatty acid metabolism'}]"
160.0,"Plasminogen-            activator inhibitor 1 (PAI-1) and key inflammation markers, ie, interleukin 6 (IL-6) and C-reactive             protein (CRP), also play a role.","[{'entity1': 'Plasminogen-activator inhibitor 1', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'Interleukin 6', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'C-reactive protein', 'relationship': 'role', 'entity2': 'Insulin resistance'}]"
161.0,"Among  proinflammatory  cytokines  contributing  to         IR  development,  the  role  of  interleukin  (IL)-6,  which  has         autocrine and paracrine properties and is involved in insulin         reception and free fatty acid (FFA) metabolism regulation,         has been extensively studied.","[{'entity1': 'Interleukin 6', 'relationship': 'contributing', 'entity2': 'Insulin resistance development'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'insulin reception'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'free fatty acid metabolism regulation'}]"
162.0,DAMPs cause inflammatory responses.,"[{'entity1': 'DAMPs', 'relationship': 'cause', 'entity2': 'inflammatory responses'}]"
163.0,Oxidatively damaged mitochondrial DNA induces inflammatory responses.,"[{'entity1': 'Oxidatively damaged mitochondrial DNA', 'relationship': 'induces', 'entity2': 'inflammatory responses'}]"
164.0,Mitochondrial dysfunction and oxidative stress activate inflammasomes.,"[{'entity1': 'Mitochondrial dysfunction', 'relationship': 'activate', 'entity2': 'inflammasomes'}, {'entity1': 'oxidative stress', 'relationship': 'activate', 'entity2': 'inflammasomes'}]"
165.0,NADPH oxidase expression contributes to oxidative tissue injury.,"[{'entity1': 'NADPH oxidase expression', 'relationship': 'contributes', 'entity2': 'oxidative tissue injury'}]"
166.0,The glutathione system is a new drug target in neuroimmune disorders.,"[{'entity1': 'The glutathione system', 'relationship': 'target', 'entity2': 'neuroimmune disorders'}]"
167.0,Mitochondrial dysfunction increases inflammatory responsiveness to cytokines in chondrocytes.,"[{'entity1': 'Mitochondrial dysfunction', 'relationship': 'increases', 'entity2': 'inflammatory responsiveness to cytokines in chondrocytes'}]"
168.0,Targeting antioxidants to mitochondria is critical in sepsis.,"[{'entity1': 'Targeting antioxidants to mitochondria', 'relationship': 'critical', 'entity2': 'sepsis'}]"
169.0,Immunology and oxidative stress are clinically and basically related to multiple sclerosis.,"[{'entity1': 'Immunology', 'relationship': 'related', 'entity2': 'multiple sclerosis'}, {'entity1': 'oxidative stress', 'relationship': 'related', 'entity2': 'multiple sclerosis'}]"
170.0,The toll like receptor (TLR) pathway contributes to chronic inflammation.,"[{'entity1': 'The toll like receptor (TLR) pathway', 'relationship': 'contributes', 'entity2': 'chronic inflammation'}]"
171.0,Regulation of mitochondrial biogenesis in muscle by endurance exercise.,"[{'entity1': 'mitochondrial biogenesis', 'relationship': 'Regulation', 'entity2': 'endurance exercise'}]"
172.0,Aerobic training is safe and improves exercise capacity in patients with mitochondrial myopathy.,"[{'entity1': 'Aerobic training', 'relationship': 'safe', 'entity2': ''}, {'entity1': 'Aerobic training', 'relationship': 'improves', 'entity2': 'exercise capacity'}, {'entity1': 'exercise capacity', 'relationship': 'in', 'entity2': 'patients with mitochondrial myopathy'}]"
173.0,Short- and long-term effects of endurance training in patients with mitochondrial myopathy.,"[{'entity1': 'endurance training', 'relationship': 'effects', 'entity2': 'patients with mitochondrial myopathy'}]"
174.0,"Aerobic conditioning in patients with mitochondrial myopathies: physiological, biochemical, and genetic effects.","[{'entity1': 'Aerobic conditioning', 'relationship': 'in', 'entity2': 'patients with mitochondrial myopathies'}, {'entity1': 'Aerobic conditioning', 'relationship': 'effects', 'entity2': 'physiological, biochemical, and genetic effects'}]"
175.0,"Insulin resistance (IR) is known to be characteristic of type 2 diabetes mellitus,             and is regarded as an important mechanism in disease pathogenesis. One of the key pathogenetic             mechanisms  of  IR  progression  is  impaired  free  fatty  acid  (FFA)  metabolism.  Plasminogen-            activator inhibitor 1 (PAI-1) and key inflammation markers, ie, interleukin 6 (IL-6) and C-reactive             protein (CRP), also play a role.","[{'entity1': 'Insulin resistance', 'relationship': 'characteristic', 'entity2': 'Type 2 diabetes mellitus'}, {'entity1': 'Insulin resistance', 'relationship': 'mechanism', 'entity2': 'disease pathogenesis'}, {'entity1': 'pathogenesis', 'relationship': 'progression', 'entity2': 'impaired free fatty acid metabolism'}, {'entity1': 'Plasminogen-activator inhibitor 1', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'Interleukin 6', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'C-reactive protein', 'relationship': 'role', 'entity2': 'Insulin resistance'}]"
176.0,"Among  proinflammatory  cytokines  contributing  to         IR  development,  the  role  of  interleukin  (IL)-6,  which  has         autocrine and paracrine properties and is involved in insulin         reception and free fatty acid (FFA) metabolism regulation,         has been extensively studied.","[{'entity1': 'Interleukin 6', 'relationship': 'contributing', 'entity2': 'Insulin resistance development'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'insulin reception'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'free fatty acid metabolism regulation'}]"
177.0,"This study was aimed at assessing the changing levels of            the metabolic proinflammation IR markers IL-6, CRP and            PAI-1,  and  their  association  with  presence  or  absence  of            T2DM in MI patients during their hospital stay.","[{'entity1': 'metabolic proinflammation IR markers', 'relationship': 'including', 'entity2': 'IL-6'}, {'entity1': 'metabolic proinflammation IR markers', 'relationship': 'including', 'entity2': 'CRP'}, {'entity1': 'metabolic proinflammation IR markers', 'relationship': 'including', 'entity2': 'PAI-1'}, {'entity1': 'metabolic proinflammation IR markers', 'relationship': 'association', 'entity2': 'presence or absence of T2DM'}, {'entity1': 'metabolic proinflammation IR markers', 'relationship': 'assessment', 'entity2': 'MI patients'}]"
178.0,MI is accompanied both by activated inflammatory            response and IR. Strong correlations between IL-6 and FFA concentrations            demonstrate that nonspecific inflammation factors are involved in IR development            in MI patients.,"[{'entity1': 'MI', 'relationship': 'accompanied', 'entity2': 'activated inflammatory response'}, {'entity1': 'MI', 'relationship': 'accompanied', 'entity2': 'Insulin resistance'}, {'entity1': 'Inflammation factors', 'relationship': 'involved', 'entity2': 'Insulin resistance development'}, {'entity1': 'Inflammation factors', 'relationship': 'demonstrated', 'entity2': 'Strong correlations between IL-6 and FFA'}]"
179.0,"Insulin resistance (IR) is known to be characteristic of type 2 diabetes mellitus,             and is regarded as an important mechanism in disease pathogenesis.","[{'entity1': 'Insulin resistance', 'relationship': 'characteristic', 'entity2': 'Type 2 diabetes mellitus'}, {'entity1': 'Insulin resistance', 'relationship': 'mechanism', 'entity2': 'disease pathogenesis'}]"
180.0,One of the key pathogenetic             mechanisms  of  IR  progression  is  impaired  free  fatty  acid  (FFA)  metabolism.,"[{'entity1': 'pathogenesis', 'relationship': 'progression', 'entity2': 'impaired free fatty acid metabolism'}]"
181.0,"Plasminogen-            activator inhibitor 1 (PAI-1) and key inflammation markers, ie, interleukin 6 (IL-6) and C-reactive             protein (CRP), also play a role.","[{'entity1': 'Plasminogen-activator inhibitor 1', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'Interleukin 6', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'C-reactive protein', 'relationship': 'role', 'entity2': 'Insulin resistance'}]"
182.0,"Among  proinflammatory  cytokines  contributing  to         IR  development,  the  role  of  interleukin  (IL)-6,  which  has         autocrine and paracrine properties and is involved in insulin         reception and free fatty acid (FFA) metabolism regulation,         has been extensively studied.","[{'entity1': 'Interleukin 6', 'relationship': 'contributing', 'entity2': 'Insulin resistance development'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'insulin reception'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'free fatty acid metabolism regulation'}]"
183.0,"CRP,  serum  FFA,  and  glucose  concentrations  were measured at the same study time points using standard Thermo Fisher Scientific (Vantaa, Finland) test systems on a Konelab 30i  biochemistry  analyzer  (Thermo  Fisher  Scientific  Oy, Vantaa, Finland).","[{'entity1': 'CRP', 'relationship': 'measured', 'entity2': 'study time points'}, {'entity1': 'serum FFA', 'relationship': 'measured', 'entity2': 'study time points'}, {'entity1': 'glucose concentrations', 'relationship': 'measured', 'entity2': 'study time points'}]"
184.0,"C-peptide and insulin concentrations were measured  by  enzyme-linked  immunosorbent  assay  with BioMedica (Waterloo, NSW, Australia) and Diagnostic Sys-tems Laboratories (Webster, TX, USA) lab kits, respectively.","[{'entity1': 'C-peptide concentrations', 'relationship': 'measured by', 'entity2': 'enzyme-linked immunosorbent assay'}, {'entity1': 'insulin concentrations', 'relationship': 'measured by', 'entity2': 'enzyme-linked immunosorbent assay'}]"
185.0,"PAI-1 concentrations were found to be increased in both groups, but at the same time at day 1 the diabetic MI patients had  a  4.6-fold  increase  in  PAI-1  levels  compared  to  the  controls","[{'entity1': 'PAI-1 concentrations', 'relationship': 'increased', 'entity2': 'both groups'}, {'entity1': 'diabetic MI patients', 'relationship': 'increase', 'entity2': 'PAI-1 levels'}, {'entity1': 'Increase in diabetic MI patients', 'relationship': 'compared to', 'entity2': 'controls'}]"
186.0,"Measurement of the key inflammation markers showed that  at  day  1,  the  whole  study  population  had  3.6-  and 19-fold increased IL-6 and CRP concentrations, respectively","[{'entity1': 'inflammation markers', 'relationship': 'increased', 'entity2': 'whole study population'}, {'entity1': 'IL-6 concentrations', 'relationship': 'increased', 'entity2': 'whole study population'}, {'entity1': 'CRP concentrations', 'relationship': 'increased', 'entity2': 'whole study population'}]"
187.0,"The diabetic MI patients had more pronounced changes in the levels of inflammation markers: IL-6  and  CRP  concentrations  were  5.3-fold  and  26-fold higher,  respectively","[{'entity1': 'diabetic MI patients', 'relationship': 'changes', 'entity2': 'inflammation markers levels'}, {'entity1': 'IL-6 concentrations', 'relationship': 'higher', 'entity2': 'diabetic MI patients'}, {'entity1': 'CRP concentrations', 'relationship': 'higher', 'entity2': 'diabetic MI patients'}]"
188.0,Correlation  analysis demonstrated  the  correlations between CRP and FFA concentrations,"[{'entity1': 'CRP', 'relationship': 'correlated', 'entity2': 'FFA concentrations'}]"
189.0,The diabetic MI patients had a positive correlation between CRP and PAI-1 concentrations,"[{'entity1': 'diabetic MI patients', 'relationship': 'correlation', 'entity2': 'CRP and PAI-1 concentrations'}]"
190.0,"Insulin resistance (IR) is known to be characteristic of type 2 diabetes mellitus, and is regarded as an important mechanism in disease pathogenesis.","[{'entity1': 'Insulin resistance', 'relationship': 'characteristic', 'entity2': 'Type 2 diabetes mellitus'}, {'entity1': 'Insulin resistance', 'relationship': 'mechanism', 'entity2': 'disease pathogenesis'}]"
191.0,One of the key pathogenetic mechanisms of IR progression is impaired free fatty acid (FFA) metabolism.,"[{'entity1': 'pathogenesis', 'relationship': 'progression', 'entity2': 'impaired free fatty acid metabolism'}]"
192.0,"Plasminogen-activator inhibitor 1 (PAI-1) and key inflammation markers, ie, interleukin 6 (IL-6) and C-reactive protein (CRP), also play a role.","[{'entity1': 'Plasminogen-activator inhibitor 1', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'Interleukin 6', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'C-reactive protein', 'relationship': 'role', 'entity2': 'Insulin resistance'}]"
193.0,"Among proinflammatory cytokines contributing to IR development, the role of interleukin (IL)-6, which has autocrine and paracrine properties and is involved in insulin reception and free fatty acid (FFA) metabolism regulation, has been extensively studied.","[{'entity1': 'Interleukin 6', 'relationship': 'contributing', 'entity2': 'Insulin resistance development'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'insulin reception'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'free fatty acid metabolism regulation'}]"
194.0,IL-6 has recently been established to be capable of stimulating PAI-1 in vitro generation in different cells; PAI-1 is not only the key component of the fibrinolytic system but also an IR marker.,"[{'entity1': 'Interleukin 6', 'relationship': 'stimulating', 'entity2': 'Plasminogen-activator inhibitor 1'}, {'entity1': 'Plasminogen-activator inhibitor 1', 'relationship': 'marker', 'entity2': 'Insulin resistance'}]"
195.0,"Inflammation  is  a  biological  response  of  the  immune  system  that  can  be  triggered  by  a  variety  of  factors,  including  pathogens,  damaged  cells  and  toxic  compounds.","[{'entity1': 'Inflammation', 'relationship': 'response of', 'entity2': 'immune system'}, {'entity1': 'Inflammation', 'relationship': 'triggered by', 'entity2': 'pathogens'}, {'entity1': 'Inflammation', 'relationship': 'triggered by', 'entity2': 'damaged cells'}, {'entity1': 'Inflammation', 'relationship': 'triggered by', 'entity2': 'toxic compounds'}]"
196.0,"These  factors  may  induce  acute  and/or  chronic  inflammatory  responses  in  the  heart, pancreas, liver, kidney, lung, brain, intestinal tract and reproductive system,  potentially leading to tissue damage or disease.","[{'entity1': 'factors', 'relationship': 'induce', 'entity2': 'inflammatory responses'}, {'entity1': 'inflammatory responses', 'relationship': 'in', 'entity2': 'heart'}, {'entity1': 'inflammatory responses', 'relationship': 'in', 'entity2': 'pancreas'}, {'entity1': 'inflammatory responses', 'relationship': 'in', 'entity2': 'liver'}, {'entity1': 'inflammatory responses', 'relationship': 'in', 'entity2': 'kidney'}, {'entity1': 'inflammatory responses', 'relationship': 'in', 'entity2': 'lung'}, {'entity1': 'inflammatory responses', 'relationship': 'in', 'entity2': 'brain'}, {'entity1': 'inflammatory responses', 'relationship': 'in', 'entity2': 'intestinal tract'}, {'entity1': 'inflammatory responses', 'relationship': 'in', 'entity2': 'reproductive system'}, {'entity1': 'inflammatory responses', 'relationship': 'leading to', 'entity2': 'tissue damage'}, {'entity1': 'inflammatory responses', 'relationship': 'leading to', 'entity2': 'disease'}]"
197.0,"Various pathogenic factors, such as infection, tissue injury, or cardiac infarction, can induce inflammation by causing  tissue damage.","[{'entity1': 'pathogenic factors', 'relationship': 'induce', 'entity2': 'inflammation'}, {'entity1': 'infection', 'relationship': 'induce', 'entity2': 'inflammation'}, {'entity1': 'tissue injury', 'relationship': 'induce', 'entity2': 'inflammation'}, {'entity1': 'cardiac infarction', 'relationship': 'induce', 'entity2': 'inflammation'}, {'entity1': 'pathogenic factors', 'relationship': 'cause', 'entity2': 'tissue damage'}]"
198.0,The inflammatory response is the coordinate activation  of signaling  pathways that regulate inflammatory  mediator  levels  in  resident  tissue  cells and  inflammatory  cells  recruited  from  the  blood.,"[{'entity1': 'inflammatory response', 'relationship': 'activation of', 'entity2': 'signaling pathways'}, {'entity1': 'signaling pathways', 'relationship': 'regulate', 'entity2': 'inflammatory mediator levels'}, {'entity1': 'inflammatory mediator levels', 'relationship': 'in', 'entity2': 'resident tissue cells'}, {'entity1': 'inflammatory mediator levels', 'relationship': 'in', 'entity2': 'inflammatory cells'}, {'entity1': 'inflammatory cells', 'relationship': 'recruited from', 'entity2': 'blood'}]"
199.0,"Inflammation is a common pathogenesis of many chronic diseases,  including  cardiovascular  and  bowel  diseases, diabetes, arthritis, and cancer.","[{'entity1': 'Inflammation', 'relationship': 'pathogenesis of', 'entity2': 'chronic diseases'}, {'entity1': 'chronic diseases', 'relationship': 'including', 'entity2': 'cardiovascular diseases'}, {'entity1': 'chronic diseases', 'relationship': 'including', 'entity2': 'bowel diseases'}, {'entity1': 'chronic diseases', 'relationship': 'including', 'entity2': 'diabetes'}, {'entity1': 'chronic diseases', 'relationship': 'including', 'entity2': 'arthritis'}, {'entity1': 'chronic diseases', 'relationship': 'including', 'entity2': 'cancer'}]"
200.0,"MAPKs  are  a  family  of  serine/threonine  protein kinases  that  direct  cellular  responses  to  a  variety  of stimuli,  including  osmotic  stress,  mitogens,  heat  shock, and inflammatory cytokines (such as IL-1, TNF-α, and IL-6),  which  regulate  cell  proliferation,  differentiation,  cell survival and apoptosis","[{'entity1': 'MAPKs', 'relationship': 'direct', 'entity2': 'cellular responses'}, {'entity1': 'cellular responses', 'relationship': 'to', 'entity2': 'variety of stimuli'}, {'entity1': 'variety of stimuli', 'relationship': 'including', 'entity2': 'osmotic stress'}, {'entity1': 'variety of stimuli', 'relationship': 'including', 'entity2': 'mitogens'}, {'entity1': 'variety of stimuli', 'relationship': 'including', 'entity2': 'heat shock'}, {'entity1': 'variety of stimuli', 'relationship': 'including', 'entity2': 'inflammatory cytokines'}, {'entity1': 'inflammatory cytokines', 'relationship': 'such as', 'entity2': 'IL-1'}, {'entity1': 'inflammatory cytokines', 'relationship': 'such as', 'entity2': 'TNF-alpha'}, {'entity1': 'inflammatory cytokines', 'relationship': 'such as', 'entity2': 'IL-6'}, {'entity1': 'MAPKs', 'relationship': 'regulate', 'entity2': 'cell proliferation'}, {'entity1': 'MAPKs', 'relationship': 'regulate', 'entity2': 'cell differentiation'}, {'entity1': 'MAPKs', 'relationship': 'regulate', 'entity2': 'cell survival'}, {'entity1': 'MAPKs', 'relationship': 'regulate', 'entity2': 'apoptosis'}]"
201.0,"Activation of the MAPKs, including Erk1/2, JNK, leads to phosphorylation and activation of p38 transcription factors","[{'entity1': 'Activation', 'relationship': 'of', 'entity2': 'MAPKs'}, {'entity1': 'MAPKs', 'relationship': 'including', 'entity2': 'Erk1/2'}, {'entity1': 'MAPKs', 'relationship': 'including', 'entity2': 'JNK'}, {'entity1': 'Activation of MAPKs', 'relationship': 'leads to', 'entity2': 'phosphorylation and activation of p38 transcription factors'}]"
202.0,"NF-κB pathway. This pathway is triggered by TLRs and inflammatory cytokines, such as TNF and IL-1, leading to activation of  RelA/p50  complexes  that  regulate  expression  of  inflammatory cytokines.","[{'entity1': 'NF-kappaB pathway', 'relationship': 'triggered by', 'entity2': 'TLRs'}, {'entity1': 'NF-kappaB pathway', 'relationship': 'triggered by', 'entity2': 'inflammatory cytokines'}, {'entity1': 'inflammatory cytokines', 'relationship': 'such as', 'entity2': 'TNF'}, {'entity1': 'inflammatory cytokines', 'relationship': 'such as', 'entity2': 'IL-1'}, {'entity1': 'TLRs and inflammatory cytokines', 'relationship': 'leading to', 'entity2': 'activation of RelA/p50 complexes'}, {'entity1': 'RelA/p50 complexes', 'relationship': 'regulate', 'entity2': 'expression of inflammatory cytokines'}]"
203.0,"Markers are used in clinical applications to indicate normal versus pathogenic biological processes, and assess responses  to  therapeutic  interventions.","[{'entity1': 'Markers', 'relationship': 'used', 'entity2': 'clinical applications'}, {'entity1': 'Markers', 'relationship': 'indicate', 'entity2': 'normal versus pathogenic biological processes'}, {'entity1': 'Markers', 'relationship': 'assess', 'entity2': 'responses to therapeutic interventions'}]"
204.0,"Inflammatory cytokines are classified as ILs, colony stimulating  factors  (CSF),  IFNs,  TNFs,  TGFs,  and chemokines,  and  are  produced  by  cells  primarily  to inflammation, inhibit recruit leukocytes to the site of infection or injury","[{'entity1': 'Inflammatory cytokines', 'relationship': 'classified as', 'entity2': 'ILs'}, {'entity1': 'Inflammatory cytokines', 'relationship': 'classified as', 'entity2': 'colony stimulating factors'}, {'entity1': 'Inflammatory cytokines', 'relationship': 'classified as', 'entity2': 'IFNs'}, {'entity1': 'Inflammatory cytokines', 'relationship': 'classified as', 'entity2': 'TNFs'}, {'entity1': 'Inflammatory cytokines', 'relationship': 'classified as', 'entity2': 'TGFs'}, {'entity1': 'Inflammatory cytokines', 'relationship': 'classified as', 'entity2': 'chemokines'}, {'entity1': 'Inflammatory cytokines', 'relationship': 'produced by cells', 'entity2': 'inflammation'}, {'entity1': 'Inflammatory cytokines', 'relationship': 'produced by cells', 'entity2': 'inhibit inflammation'}, {'entity1': 'Inflammatory cytokines', 'relationship': 'produced by cells', 'entity2': 'recruit leukocytes'}, {'entity1': 'leukocytes', 'relationship': 'to', 'entity2': 'site of infection or injury'}]"
